Brand Name,Website,Country,Category,Price Tier,API/Affiliate Available,Integration Type,Priority,Source,Logo Path,Logo Status
Lisa Marie Fernandez,lisamariefernandez.com,US,Designer,Luxury,Limited,Manual,Low,Competitor,,MISSING
Solid & Striped,solidandstriped.com,US,Swimwear,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Frankies Bikinis,frankiesbikinis.com,US,Swimwear,Mid-High,Yes,Affiliate,Critical,Competitor,,MISSING
Vitamin A,vitaminaswim.com,US,Swimwear,High,Yes,Affiliate,High,LTK,,MISSING
Mikoh,mikohs wear.com,US,Swimwear,High,Yes,Affiliate,High,LTK,,MISSING
L*Space,lspace.com,US,Swimwear,Mid,Yes,Affiliate,High,LTK,,MISSING
Seafolly,seafolly.com,Australia,Swimwear,Mid,Yes,Affiliate,High,Competitor,,MISSING
Triangl,triangl.com,Australia,Swimwear,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Montce,montce.com,US,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Jade Swim,jadeswim.com,US,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Bound by Bond-Eye,boundbythebeach.com,Australia,Swimwear,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Hunza G,hunzag.com,UK,Swimwear,High,Yes,Affiliate,Medium,Competitor,,MISSING
Aerie,ae.com/aerie,US,Swimwear,Budget,Yes,Affiliate,High,LTK,,MISSING
Steve Madden,stevemadden.com,US,Shoes,Mid,Yes,Affiliate,Critical,LTK,,MISSING
Sam Edelman,samedelman.com,US,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Dolce Vita,dolcevita.com,US,Shoes,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Marc Fisher,marcfisherfootwear.com,US,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Stuart Weitzman,stuartweitzman.com,US,Shoes,Luxury,Yes,Affiliate,High,LTK,,MISSING
Aquazzura,aquazzura.com,Italy,Shoes,Luxury,Yes,Affiliate,Medium,LTK,,MISSING
Vince Camuto,vincecamuto.com,US,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Nine West,ninewest.com,US,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Naturalizer,naturalizer.com,US,Shoes,Mid,Yes,Affiliate,Medium,LTK,,MISSING
Cole Haan,colehaan.com,US,Shoes,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Rothy's,rothys.com,US,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Allbirds,allbirds.com,US,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Veja,veja-store.com,France,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Dr. Martens,drmartens.com,UK,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Birkenstock,birkenstock.com,Germany,Shoes,Mid,Yes,Affiliate,High,LTK,,MISSING
Teva,teva.com,US,Shoes,Mid,Yes,Affiliate,Medium,LTK,,MISSING
Crocs,crocs.com,US,Shoes,Budget-Mid,Yes,Affiliate,High,LTK,,MISSING
UGG,ugg.com,US,Shoes,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Sorel,sorel.com,Canada,Shoes,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Golden Goose,goldengoosedeluxebrand.com,Italy,Shoes,Luxury,Limited,Manual,High,Competitor,,MISSING
Common Projects,commonprojects.com,Italy,Shoes,Luxury,Limited,Manual,Medium,Competitor,,MISSING
APL,athleticpropulsionlabs.com,US,Shoes,High,Yes,Affiliate,Medium,Competitor,,MISSING
Tory Burch Shoes,toryburch.com,US,Shoes,High,Yes,Affiliate,High,LTK,,MISSING
Kate Spade,katespade.com,US,Accessories,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Coach,coach.com,US,Accessories,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Michael Kors,michaelkors.com,US,Accessories,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Rebecca Minkoff,rebeccaminkoff.com,US,Accessories,Mid,Yes,Affiliate,High,LTK,,MISSING
Strathberry,strathberry.com,UK,Accessories,High,Yes,Affiliate,High,LTK,,MISSING
Polene,polene-paris.com,France,Accessories,Mid-High,Yes,Affiliate,High,LTK,,MISSING
DeMellier,demellierlondon.com,UK,Accessories,High,Yes,Affiliate,High,LTK,,MISSING
Cuyana,cuyana.com,US,Accessories,High,Yes,Affiliate,Critical,Competitor,,MISSING
Senreve,senreve.com,US,Accessories,High,Yes,Affiliate,High,LTK,,MISSING
Mansur Gavriel,mansurgavriel.com,US,Accessories,High,Yes,Affiliate,High,Competitor,,MISSING
Staud Bags,staud.clothing,US,Accessories,High,Yes,Affiliate,High,Competitor,,MISSING
Wandler,wandler.com,Germany,Accessories,High,Yes,Affiliate,Medium,Competitor,,MISSING
By Far,byfar.com,Bulgaria,Accessories,High,Yes,Affiliate,High,Competitor,,MISSING
Ratio et Motus,ratioetmotus.com,US,Accessories,High,Yes,Affiliate,Low,Competitor,,MISSING
Mejuri,mejuri.com,Canada,Jewelry,Mid,Yes,Affiliate,Critical,Competitor,,MISSING
AUrate,auratenewyork.com,US,Jewelry,Mid,Yes,Affiliate,High,Competitor,,MISSING
Catbird,catbirdnyc.com,US,Jewelry,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Gorjana,gorjana.com,US,Jewelry,Mid,Yes,Affiliate,High,LTK,,MISSING
Kendra Scott,kendrascott.com,US,Jewelry,Mid,Yes,Affiliate,High,LTK,,MISSING
Monica Vinader,monicavinader.com,UK,Jewelry,High,Yes,Affiliate,High,LTK,,MISSING
Missoma,missoma.com,UK,Jewelry,Mid-High,Yes,Affiliate,High,LTK,,MISSING
Baublebar,baublebar.com,US,Jewelry,Budget-Mid,Yes,Affiliate,High,LTK,,MISSING
Uncommon James,uncommonjames.com,US,Jewelry,Mid,Yes,Affiliate,High,ShopMy,,MISSING
Jennifer Fisher,jenniferfisherjewelry.com,US,Jewelry,High,Yes,Affiliate,Medium,Competitor,,MISSING
Anine Bing,aninebing.com,US,Contemporary,High,Yes,Affiliate,High,Competitor,,MISSING
Rails,railsclothing.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
L'Academie,revolve.com/lacademie,US,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Lioness,lioness.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,ShopMy,,MISSING
Motel Rocks,motelrocks.com,UK,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,ShopMy,,MISSING
Meshki,meshki.com.au,Australia,Contemporary,Mid,Yes,Affiliate,High,ShopMy,,MISSING
House of CB,houseofcb.com,UK,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Edikted,edikted.com,US,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,ShopMy,,MISSING
SKIMS,skims.com,US,Intimates,Mid-High,Limited,Manual,Critical,Competitor,,MISSING
Savage x Fenty,savagex.com,US,Intimates,Mid,Yes,Affiliate,High,Competitor,,MISSING
ThirdLove,thirdlove.com,US,Intimates,Mid,Yes,Affiliate,High,Competitor,,MISSING
True & Co,trueandco.com,US,Intimates,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Lively,wearlively.com,US,Intimates,Mid,Yes,Affiliate,High,Competitor,,MISSING
Victoria's Secret,victoriassecret.com,US,Intimates,Mid,Yes,Affiliate,High,LTK,,MISSING
Aerie,ae.com/aerie,US,Intimates,Budget-Mid,Yes,Affiliate,High,LTK,,MISSING
Hanky Panky,hankypanky.com,US,Intimates,Mid-High,Yes,Affiliate,Medium,LTK,,MISSING
Cosabella,cosabella.com,Italy,Intimates,High,Yes,Affiliate,Medium,LTK,,MISSING
Eberjey,eberjey.com,US,Intimates,Mid-High,Yes,Affiliate,Medium,LTK,,MISSING
Jenni Kayne,jennikayne.com,US,Lifestyle,Luxury,Yes,Affiliate,High,Competitor,,MISSING
Quince,quince.com,US,Contemporary,Budget-Mid,Yes,Affiliate,High,Competitor,,MISSING
Italic,italic.com,US,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
ABLE,livefashionable.com,US,Contemporary,Mid,Yes,Affiliate,High,Phia,,MISSING
Nisolo,nisolo.com,US,Shoes,Mid-High,Yes,Affiliate,High,Phia,,MISSING
Eileen Fisher,eileenfisher.com,US,Contemporary,High,Yes,Affiliate,High,Phia,,MISSING
Amour Vert,amourvert.com,US,Contemporary,Mid-High,Yes,Affiliate,Medium,Phia,,MISSING
Christy Dawn,christydawn.com,US,Contemporary,High,Yes,Affiliate,Medium,Phia,,MISSING
Whimsy + Row,whimsyandrow.com,US,Contemporary,Mid-High,Yes,Affiliate,Low,Phia,,MISSING
M.M.LaFleur,mmlafleur.com,US,Workwear,High,Yes,Affiliate,High,Phia,,MISSING
Argent,argentwork.com,US,Workwear,High,Limited,Manual,Medium,Phia,,MISSING
Babaa,babaa.es,Spain,Knitwear,High,Limited,Manual,Low,Phia,,MISSING
Kotn,kotn.com,Canada,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
StyleNanda,stylenanda.com,Korea,Fast Fashion,Mid,Limited,Manual,High,Competitor,,MISSING
Chuu,chuu.co.kr,Korea,Fast Fashion,Mid,Limited,Manual,High,Competitor,,MISSING
Mixxmix,mixxmix.us,Korea,Fast Fashion,Budget-Mid,Limited,Manual,Medium,Competitor,,MISSING
Stylenanda 3CE,stylenanda.com,Korea,Fast Fashion,Mid,Limited,Manual,Medium,Competitor,,MISSING
Ader Error,adererror.com,Korea,Designer,High,Limited,Manual,Medium,Competitor,,MISSING
Andersson Bell,anderssonbell.com,Korea,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Rocket X Lunch,rocketxlunch.com,Korea,Contemporary,Mid,Limited,Manual,Low,Competitor,,MISSING
Nerdy,nerdy.co.kr,Korea,Streetwear,Mid,Limited,Manual,Low,Competitor,,MISSING
Romantic Crown,romanticcrown.com,Korea,Streetwear,Mid,Limited,Manual,Low,Competitor,,MISSING
Sculptor,sculptorworld.com,Korea,Streetwear,Mid,Limited,Manual,Low,Competitor,,MISSING
W Concept,wconcept.com,Korea,Marketplace,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Kooding,kooding.com,Korea,Marketplace,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
YesStyle,yesstyle.com,Hong Kong,Marketplace,Budget-Mid,Yes,Affiliate,High,Competitor,,MISSING
Stylevana,stylevana.com,Hong Kong,Marketplace,Budget,Yes,Affiliate,Medium,Competitor,,MISSING
Naked Wardrobe,nakedwardrobe.com,US,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Oh Polly,ohpolly.com,UK,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
I.AM.GIA,iamgia.com,Australia,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
The Frankie Shop,thefrankieshop.com,US,Contemporary,High,Yes,Affiliate,High,Competitor,,MISSING
Aritzia,aritzia.com,Canada,Contemporary,Mid-High,Yes,Affiliate,Critical,Competitor,,MISSING
TNA,aritzia.com/tna,Canada,Activewear,Mid,Yes,Affiliate,High,Competitor,,MISSING
Wilfred,aritzia.com/wilfred,Canada,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Babaton,aritzia.com/babaton,Canada,Contemporary,Mid-High,Yes,Affiliate,High,Competitor,,MISSING
Sunday Best,aritzia.com/sunday-best,Canada,Contemporary,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Oak + Fort,oakandfort.com,Canada,Contemporary,Mid,Yes,Affiliate,High,Competitor,,MISSING
Aritzia Denim Forum,aritzia.com/denim-forum,Canada,Denim,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Dynamite,dynamiteclothing.com,Canada,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,Competitor,,MISSING
Garage,garageclothing.com,Canada,Fast Fashion,Budget,Yes,Affiliate,Medium,Competitor,,MISSING
Simons,simons.ca,Canada,Department Store,Mid,Yes,Affiliate,Medium,Competitor,,MISSING
SMYTHE,smythecollection.com,Canada,Contemporary,High,Yes,Affiliate,Medium,Competitor,,MISSING
Aritizia's Auxiliary,aritzia.com/auxiliary,Canada,Contemporary,Mid,Yes,Affiliate,Low,Competitor,,MISSING
Community,aritzia.com/community,Canada,Contemporary,Mid-High,Yes,Affiliate,Low,Competitor,,MISSING
Scanlan Theodore,scanlantheo dore.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Camilla and Marc,camillaandmarc.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Bec + Bridge,becandbridge.com.au,Australia,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Alice McCall,alicemccall.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Sir The Label,sirthelabel.com,Australia,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Significant Other,significantother.com.au,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Shona Joy,shonajoy.com.au,Australia,Designer,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
Sass & Bide,sassandbide.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Zimmermann,zimmermannwear.com,Australia,Designer,Luxury,Yes,Affiliate,High,Competitor,,MISSING
Bassike,bassike.com,Australia,Contemporary,High,Yes,Affiliate,Medium,Competitor,,MISSING
Aje,ajeworld.com.au,Australia,Designer,High,Yes,Affiliate,High,Competitor,,MISSING
Dion Lee,dionlee.com,Australia,Designer,Luxury,Limited,Manual,Medium,Competitor,,MISSING
Hansen & Gretel,hansenandgretel.com,Australia,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Matteau,matteau.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor,,MISSING
Esse Studios,essestudios.com,New Zealand,Contemporary,High,Yes,Affiliate,Medium,Competitor,,MISSING
Paris Georgia,parisgeorgia.com,Australia,Designer,High,Limited,Manual,Low,Competitor,,MISSING
Third Form,thirdform.com.au,Australia,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor,,MISSING
The Upside,theupsidesport.com,Australia,Activewear,High,Yes,Affiliate,Medium,Competitor,,MISSING
